ISDcode,ISD,dcode,District,bcode,School ,AYP,AYP Phase,Building Type
63,Oakland Schools,63200,Farmington Public School District,00735,Cloverdale School,No,Identified for Improvement - Year Two,K-12 School
63,Oakland Schools,63200,Farmington Public School District,01204,Farmington High School,Yes,Identified for Improvement - Year Two,High School
63,Oakland Schools,63200,Farmington Public School District,09733,Farmington Central High School,-,Identified for Improvement - Year One,High School
63,Oakland Schools,63220,Huron Valley Schools,00964,Harbor High School,-,Corrective Action,Alternative School
63,Oakland Schools,63220,Huron Valley Schools,01801,Milford High School,No,Identified for Restructuring - Planning,High School
63,Oakland Schools,63220,Huron Valley Schools,06491,Lakeland High School,Yes,Identified for Improvement - Year Two,High School
63,Oakland Schools,63250,Oak Park City School District,02798,Oak Park High School,Yes,Identified for Improvement - Year Two,High School
63,Oakland Schools,63260,Rochester Community School District,03242,Rochester High School,No,Identified for Improvement - Year One,High School
63,Oakland Schools,63260,Rochester Community School District,07103,Alternative Center for Education,Yes,Identified for Improvement - Year One,Alternative School
63,Oakland Schools,63260,Rochester Community School District,07864,Rochester Adult Education,No,Identified for Improvement - Year One,Alternative School
63,Oakland Schools,63290,Walled Lake Consolidated Schools,07792,Walled Lake Community Education Center,No,Identified for Restructuring - Planning,Alternative School
63,Oakland Schools,63300,Waterford School District,00072,Waterford Alternative High School - Manley Campus,No,Identified for Improvement - Year Two,Alternative School
63,Oakland Schools,63300,Waterford School District,02803,Children's Village School,No,Corrective Action,Spec Ed Center
63,Oakland Schools,63300,Waterford School District,04092,Kingsley Montgomery School,No,Identified for Improvement - Year Two,Spec Ed Center
63,Oakland Schools,63300,Waterford School District,04393,Waterford Kettering High School,No,Identified for Improvement - Year Two,High School
63,Oakland Schools,63300,Waterford School District,05535,Waterford Mott High School,No,Corrective Action,High School
63,Oakland Schools,63902,Academy of Oak Park,08291,Academy of Oak Park - High School,No,Identified for Restructuring - Implementation,High School
63,Oakland Schools,63906,Pontiac Academy for Excellence,08433,Pontiac Academy for Excellence - High School,Yes,Corrective Action,High School
63,Oakland Schools,63920,Life Skills Center of Pontiac,09458,Life Skills Center of Pontiac,No,Identified for Restructuring - Planning,Alternative School
64,Oceana Intermediate School District,64080,Shelby Public Schools,07215,Oceana High School,No,Identified for Restructuring - Implementation,Alternative School
54,Mecosta-Osceola ISD,67020,Evart Public Schools,07673,Evart Alternative High School,No,Corrective Action,High School
72,C.O.O.R. ISD,68030,Fairview Area School District,01194,Fairview High School,No,Corrective Action,Middle/High School
70,Ottawa Area ISD,70010,Grand Haven Area Public Schools,00620,Central High School,No,Identified for Restructuring - Implementation,Alternative School
70,Ottawa Area ISD,70020,Holland City School District,01697,Holland High School,No,Identified for Restructuring - Implementation,Middle/High School
70,Ottawa Area ISD,70070,West Ottawa Public School District,04462,West Ottawa High School Campus,Yes,Identified for Improvement - Year One,High School
70,Ottawa Area ISD,70120,Coopersville Area Public School District,09699,New Options High School,No,Identified for Improvement - Year Two,High School
70,Ottawa Area ISD,70907,Wavecrest Career Academy,09700,Wavecrest Career Academy,No,Identified for Improvement - Year Two,High School
16,Cheb-Otsego-Presque Isle ESD,71902,Presque Isle Academy II,08867,Presque Isle Academy II,Yes,Identified for Improvement - Year One,Alternative School
72,C.O.O.R. ISD,72020,Houghton Lake Community Schools,08258,Houghton Lake Adult Education,No,Corrective Action,Alternative School
73,Saginaw ISD,73000,Saginaw ISD,08777,Michael J McGivney,-,Identified for Improvement - Year One,Spec Ed Center
73,Saginaw ISD,73010,Saginaw City School District,00606,Ruben Daniels Middle School,No,Identified for Improvement - Year Two,Middle School
73,Saginaw ISD,73010,Saginaw City School District,03336,Saginaw High School,No,Identified for Restructuring - Planning,High School
73,Saginaw ISD,73010,Saginaw City School District,03532,Thompson Middle School,Yes,Identified for Improvement - Year Two,Middle School
73,Saginaw ISD,73010,Saginaw City School District,04415,Webber K-8,Yes,Identified for Improvement - Year Two,Elementary
73,Saginaw ISD,73010,Saginaw City School District,09349,Ruben Daniels Community School-ETC,No,Identified for Improvement - Year One,High School
73,Saginaw ISD,73030,Carrollton School District,09242,Omni Adult and Alternative Education,No,Identified for Improvement - Year One,Alternative School
73,Saginaw ISD,73040,Saginaw Township Community Schools,08178,Mackinaw High School,No,Corrective Action,Alternative School
73,Saginaw ISD,73080,Buena Vista School District,00440,Buena Vista High School,No,Identified for Restructuring - Implementation,High School
73,Saginaw ISD,73080,Buena Vista School District,08693,Wolverine Secure Treatment Center,Yes,Identified for Improvement - Year Two,Middle/High School
73,Saginaw ISD,73240,St. Charles Community Schools,07810,St. Charles Alternative Education,No,Identified for Improvement - Year One,Alternative School
73,Saginaw ISD,73909,Francis Reh PSA,08653,Francis Reh PSA,No,Identified for Improvement - Year One,Elementary
73,Saginaw ISD,73911,Saginaw Learn to Earn Academy,09601,Saginaw Learn to Earn Academy,No,Identified for Improvement - Year One,High School
74,St. Clair County RESA,74000,St. Clair County RESA,03376,Woodland Developmental Center,No,Identified for Improvement - Year One,Spec Ed Center
74,St. Clair County RESA,74010,Port Huron Area School District,02640,Grant Educational Center,No,Identified for Improvement - Year Two,Alternative School
74,St. Clair County RESA,74010,Port Huron Area School District,03090,Port Huron Northern High School,No,Identified for Restructuring - Implementation,High School
74,St. Clair County RESA,74010,Port Huron Area School District,03092,Port Huron High School,No,Identified for Restructuring - Implementation,High School
74,St. Clair County RESA,74040,Capac Community School District,07820,Capac Adult and Community Education,Yes,Identified for Improvement - Year One,Alternative School
74,St. Clair County RESA,74050,East China School District,08924,Riverview East High School,-,Corrective Action,Alternative School
74,St. Clair County RESA,74906,Blue Water Learning Academy,08819,Blue Water Learning Academy,Yes,Identified for Improvement - Year Two,Middle/High School
75,St. Joseph County ISD,75030,Centreville Public Schools,08410,Covered Bridge School,Yes,Identified for Improvement - Year One,Alternative School
75,St. Joseph County ISD,75080,Three Rivers Community Schools,07698,Barrows Adult Education,-,Identified for Improvement - Year Two,Alternative School
76,Sanilac ISD,76000,Sanilac ISD,08852,Sanilac ISD Special Education Services,No,Corrective Action,Spec Ed Center
76,Sanilac ISD,76070,Carsonville-Port Sanilac School District,09548,Carsonville-Port Sanilac Learning Center,Yes,Identified for Improvement - Year Two,Alternative School
78,Shiawassee Regional ESD,78100,Corunna Public School District,06673,Corunna High School,Yes,Identified for Improvement - Year One,High School
78,Shiawassee Regional ESD,78110,Owosso Public Schools,02924,Owosso High School,No,Identified for Improvement - Year One,High School
78,Shiawassee Regional ESD,78110,Owosso Public Schools,09543,Lincoln Alternative High School,No,Corrective Action,Alternative School
80,Van Buren ISD,80020,Bangor Public Schools,00189,Bangor High School,No,Identified for Improvement - Year Two,Middle/High School
80,Van Buren ISD,80040,Covert Public Schools,00817,Covert High School,No,Identified for Restructuring - Planning,High School
80,Van Buren ISD,80090,Bloomingdale Public School District,00357,Bloomingdale High School,Yes,Identified for Improvement - Year Two,High School
80,Van Buren ISD,80120,Hartford Public School District,01598,Hartford High School,No,Identified for Improvement - Year Two,High School
80,Van Buren ISD,80160,Paw Paw Public School District,07750,Michigan Avenue Academy,No,Identified for Restructuring - Planning,Alternative School
81,Washtenaw ISD,81010,Ann Arbor Public Schools,08680,Stone High School,No,Identified for Restructuring - Implementation,Alternative School
81,Washtenaw ISD,81020,School District of Ypsilanti,06273,Ypsilanti High School,No,Identified for Restructuring - Implementation,High School
81,Washtenaw ISD,81070,Lincoln Consolidated School District,02187,Lincoln Senior High School,No,Identified for Improvement - Year Two,High School
81,Washtenaw ISD,81150,Willow Run Community Schools,04550,Willow Run High School,No,Identified for Restructuring - Implementation,High School
82,Wayne RESA,82010,Detroit City School District,00005,"Holmes, A.L.  Elementary School",Yes,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,00082,Earhart Middle School,No,Identified for Restructuring - Implementation,Middle School
82,Wayne RESA,82010,Detroit City School District,00200,Barbour Magnet Middle School,Yes,Identified for Restructuring - Implementation,Elementary
82,Wayne RESA,82010,Detroit City School District,00333,Birney Elementary School,Yes,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,00446,Bunche Elementary School,No,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,00456,Burns Elementary School,No,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,00463,Burt Elementary School,No,Corrective Action,Elementary
82,Wayne RESA,82010,Detroit City School District,00471,Butzel Elementary/Middle School,Yes,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,00510,Campbell Elementary School,No,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,00542,Carstens Elementary School,No,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,00617,Central High School,No,Identified for Restructuring - Implementation,Middle/High School
82,Wayne RESA,82010,Detroit City School District,00631,Chadsey High School,Yes,Identified for Restructuring - Implementation,Elementary
82,Wayne RESA,82010,Detroit City School District,00717,Cleveland Middle School,Yes,Identified for Restructuring - Implementation,Middle School
82,Wayne RESA,82010,Detroit City School District,00727,Clinton Elementary School,Yes,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,00739,Cody College Preparatory Upper School of Teaching ,No,Identified for Restructuring - Implementation,Middle/High School
82,Wayne RESA,82010,Detroit City School District,00741,Coffey Elementary/Middle School,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,00785,Cooley High School,No,Identified for Restructuring - Implementation,Middle/High School
82,Wayne RESA,82010,Detroit City School District,00787,Coolidge Elementary School,Yes,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,00857,"Marshall, Thurgood Elementary School",Yes,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,00880,Davison Elementary School,No,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,00902,Denby High School,No,Identified for Restructuring - Implementation,High School
82,Wayne RESA,82010,Detroit City School District,00908,Detroit Day School For The Deaf,No,Identified for Improvement - Year Two,Spec Ed Center
82,Wayne RESA,82010,Detroit City School District,00966,Duffield Elementary School,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,01043,King High School,No,Identified for Restructuring - Implementation,High School
82,Wayne RESA,82010,Detroit City School District,01087,Edmonson Elementary School,No,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,01211,Farwell Middle School,No,Identified for Improvement - Year Two,Middle School
82,Wayne RESA,82010,Detroit City School District,01236,Finney High School,No,Identified for Restructuring - Implementation,Middle/High School
82,Wayne RESA,82010,Detroit City School District,01244,Fitzgerald Elementary School,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,01248,Fleming Elementary School,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,01362,Gardner Elementary School,No,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,01518,Bethune Academy,Yes,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,01546,Hamilton Elementary School,No,Corrective Action,Elementary
82,Wayne RESA,82010,Detroit City School District,01552,Barbara Jordan Elementary,No,Identified for Restructuring - Implementation,Elementary
82,Wayne RESA,82010,Detroit City School District,01569,Harding Elementary School,No,Identified for Restructuring - Implementation,Elementary
82,Wayne RESA,82010,Detroit City School District,01634,Ford High School,No,Identified for Restructuring - Implementation,Middle/High School
82,Wayne RESA,82010,Detroit City School District,01690,Holcomb Elementary School,Yes,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,01764,Houghten Elementary School,No,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,01803,Hutchinson Elementary School,Yes,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,01871,McNair Middle School,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,01887,Jamieson Elementary School,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,01976,Joyce Elementary School,No,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,02030,Kettering High School,No,Identified for Restructuring - Implementation,High School
82,Wayne RESA,82010,Detroit City School District,02167,Lessenger Elementary-Middle School,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,02310,Macomb Elementary School,Yes,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,02377,Law Elementary School,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,02398,"Marshall, John Elementary School",No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,02431,Mason Elementary School,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,02458,McColl Elementary School,No,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,02475,McKenny Elementary School,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,02644,Mumford High School,No,Identified for Restructuring - Implementation,Middle/High School
82,Wayne RESA,82010,Detroit City School District,02646,Munger Elementary School,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,02648,Murphy Elementary-Middle School,No,Corrective Action,Elementary
82,Wayne RESA,82010,Detroit City School District,02669,Neinas Elementary School,No,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,02701,Rutherford Elementary School,Yes,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,02708,Nolan Elementary School,Yes,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,02778,Northwestern High School,No,Identified for Improvement - Year Two,High School
82,Wayne RESA,82010,Detroit City School District,02855,Osborn Upper School of Global Communications and C,No,Identified for Restructuring - Implementation,High School
82,Wayne RESA,82010,Detroit City School District,02951,Parker Elementary School,No,Corrective Action,Elementary
82,Wayne RESA,82010,Detroit City School District,03015,Pershing High School,No,Identified for Restructuring - Implementation,Middle/High School
82,Wayne RESA,82010,Detroit City School District,03123,Priest Elementary School,No,Identified for Restructuring - Implementation,Elementary
82,Wayne RESA,82010,Detroit City School District,03130,Pulaski Elementary School,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,03420,Schulze Elementary School,Yes,Identified for Restructuring - Planning,Elementary
82,Wayne RESA,82010,Detroit City School District,03540,Southeastern High School,No,Identified for Restructuring - Implementation,High School
82,Wayne RESA,82010,Detroit City School District,03555,Southwestern High School,No,Identified for Restructuring - Implementation,Middle/High School
82,Wayne RESA,82010,Detroit City School District,03676,Fisher Magnet ,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,03717,"Young, Coleman A. Elementary",Yes,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,03725,Loving Elementary School,No,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,03857,Robinson Middle School,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,04062,"Brown, Ronald Academy",No,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,04129,Taft Middle School,No,Identified for Improvement - Year Two,Middle School
82,Wayne RESA,82010,Detroit City School District,04156,Thirkell Elementary School,Yes,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,04222,Trix Elementary School,Yes,Corrective Action,Elementary
82,Wayne RESA,82010,Detroit City School District,04319,Bow Elementary School,No,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,04406,Wayne Elementary School,Yes,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,04477,Western International High School,No,Identified for Restructuring - Implementation,Middle/High School
82,Wayne RESA,82010,Detroit City School District,04500,White Elementary School,No,Corrective Action,Elementary
82,Wayne RESA,82010,Detroit City School District,04527,Wilkins Elementary School,No,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,04554,Phoenix Elementary,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,04569,Winterhalter Elementary School,Yes,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,04807,Van Zile Elementary School,No,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,04812,McFarlane Elementary School,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,05553,Carleton Elementary School,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,05675,Glazer Elementary School,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,05773,Drew Middle School,No,Identified for Restructuring - Implementation,Elementary
82,Wayne RESA,82010,Detroit City School District,06074,Stewart Elementary School,No,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,06095,Columbus Middle School,Yes,Identified for Restructuring - Implementation,Elementary
82,Wayne RESA,82010,Detroit City School District,06105,Richard Elementary School,Yes,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,06342,Boykin Continuing Ed. Center,Yes,Identified for Restructuring - Implementation,Alternative School
82,Wayne RESA,82010,Detroit City School District,06631,"Beckham, William Academy",No,Identified for Restructuring - Implementation,Elementary
82,Wayne RESA,82010,Detroit City School District,06693,Vetal Elementary School,Yes,Identified for Restructuring - Implementation,Elementary
82,Wayne RESA,82010,Detroit City School District,07024,Crockett High School,No,Identified for Restructuring - Implementation,Middle/High School
82,Wayne RESA,82010,Detroit City School District,07097,Ferguson Academy for Young Women,No,Identified for Restructuring - Implementation,Alternative School
82,Wayne RESA,82010,Detroit City School District,07529,Detroit City High School,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,07651,Trombly Alternative High School,No,Identified for Restructuring - Implementation,Alternative School
82,Wayne RESA,82010,Detroit City School District,07795,Jemison School of Choice,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,08526,Crosman Alternative High School,No,Identified for Restructuring - Implementation,Alternative School
82,Wayne RESA,82010,Detroit City School District,08925,Detroit Lions Alternative Education,No,Corrective Action,Alternative School
82,Wayne RESA,82010,Detroit City School District,08929,West Side Academy Alt. Ed ,No,Identified for Restructuring - Implementation,Alternative School
82,Wayne RESA,82010,Detroit City School District,09121,Fisher Magnet Lower Academy,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,09341,"Scott, Brenda Middle School",No,Identified for Restructuring - Implementation,Middle School
82,Wayne RESA,82010,Detroit City School District,09342,Hancock,No,Identified for Improvement - Year One,Alternative School
82,Wayne RESA,82010,Detroit City School District,09345,Fisher Magnet Upper Academy,No,Identified for Restructuring - Planning,Middle School
82,Wayne RESA,82010,Detroit City School District,09469,Erma Henderson Upper School,Yes,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82010,Detroit City School District,09474,Cooley North Wing,No,Identified for Restructuring - Planning,Middle/High School
82,Wayne RESA,82010,Detroit City School District,09475,Kettering West Wing,No,Identified for Restructuring - Planning,Middle/High School
82,Wayne RESA,82010,Detroit City School District,09593,Detroit International Academy,Yes,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82010,Detroit City School District,09594,Keidan Special Education School,No,Identified for Improvement - Year Two,Spec Ed Center
82,Wayne RESA,82010,Detroit City School District,09788,Turning Point Academy,No,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82020,Allen Park Public Schools,08422,Allen Park Community School,No,Identified for Restructuring - Implementation,Alternative School
82,Wayne RESA,82050,Garden City School District,07376,Cambridge High School,No,Identified for Restructuring - Planning,Alternative School
82,Wayne RESA,82060,Hamtramck Public Schools,01554,Hamtramck High School,No,Identified for Restructuring - Implementation,High School
82,Wayne RESA,82070,Highland Park City Schools,01666,Highland Park Community H.S.,No,Identified for Restructuring - Implementation,High School
82,Wayne RESA,82080,School District of the City of Inkster,01840,Inkster High School,No,Identified for Restructuring - Implementation,High School
82,Wayne RESA,82095,Livonia Public Schools,00025,Stevenson High School,Yes,Identified for Improvement - Year Two,High School
82,Wayne RESA,82100,Plymouth-Canton Community Schools,04055,Starkweather CEC,No,Corrective Action,Alternative School
82,Wayne RESA,82100,Plymouth-Canton Community Schools,05770,Salem High School,Yes,Identified for Improvement - Year Two,High School
82,Wayne RESA,82100,Plymouth-Canton Community Schools,06276,Canton High School,Yes,Identified for Restructuring - Planning,High School
82,Wayne RESA,82110,Redford Union School District,03167,Redford Union High School,No,Identified for Restructuring - Implementation,High School
82,Wayne RESA,82110,Redford Union School District,06642,Kaselemis Center,No,Identified for Restructuring - Implementation,Spec Ed Center
82,Wayne RESA,82110,Redford Union School District,08278,Elem. Day Treatment,Yes,Identified for Improvement - Year One,Spec Ed Center
82,Wayne RESA,82120,River Rouge School District,00105,Ann Visger K-5 Preparatory Academy,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82120,River Rouge School District,03208,River Rouge Middle College High School Academy,No,Identified for Restructuring - Implementation,High School
82,Wayne RESA,82130,Romulus Community Schools,03260,Romulus Senior High School,No,Identified for Improvement - Year Two,High School
82,Wayne RESA,82130,Romulus Community Schools,09025,Community Middle/Community High School,No,Identified for Improvement - Year Two,Alternative School
82,Wayne RESA,82140,South Redford School District,02149,Lee M. Thurston High School,Yes,Identified for Improvement - Year One,High School
82,Wayne RESA,82150,Taylor School District,01249,Titan Alternative High School,No,Identified for Restructuring - Implementation,Middle/High School
82,Wayne RESA,82150,Taylor School District,01944,John F. Kennedy High School,Yes,Identified for Restructuring - Planning,High School
82,Wayne RESA,82150,Taylor School District,06428,Truman High School,Yes,Identified for Restructuring - Planning,High School
82,Wayne RESA,82160,Wayne-Westland Community School District,04407,Wayne Memorial High School,Yes,Identified for Improvement - Year Two,Middle/High School
82,Wayne RESA,82170,Wyandotte City School District,06726,Madison School,No,Identified for Improvement - Year One,K-12 School
82,Wayne RESA,82180,Flat Rock Community Schools,01246,Flat Rock Community High School,No,Identified for Improvement - Year Two,High School
82,Wayne RESA,82240,Westwood Community Schools,03238,Robichaud Senior High School,Yes,Identified for Restructuring - Planning,High School
82,Wayne RESA,82240,Westwood Community Schools,09767,Westwood Alternative Education,No,Identified for Improvement - Year One,High School
82,Wayne RESA,82250,Ecorse Public School District,01069,Ecorse Community High School,No,Identified for Restructuring - Implementation,Middle/High School
82,Wayne RESA,82290,Gibraltar School District,07745,Downriver High School,Yes,Identified for Restructuring - Planning,Alternative School
82,Wayne RESA,82365,Woodhaven-Brownstown School District,06288,Woodhaven High School,No,Identified for Improvement - Year Two,High School
82,Wayne RESA,82405,Southgate Community School District,02956,Asher School,No,Identified for Restructuring - Implementation,Alternative School
82,Wayne RESA,82430,Van Buren Public Schools,09546,Van Buren Alternative Education School,No,Corrective Action,Alternative School
82,Wayne RESA,82902,Casa Richard Academy,08046,Casa Richard Academy,No,Identified for Restructuring - Implementation,High School
82,Wayne RESA,82903,Aisha Shule/WEB Dubois Prep. Academy School,08047,Aisha Shule/WEB Dubois Prep. Academy School,Yes,Corrective Action,K-12 School
82,Wayne RESA,82907,Michigan Technical Academy,08261,Michigan Technical Academy High School,Yes,Identified for Restructuring - Planning,High School
82,Wayne RESA,82917,Michigan Health Academy,08346,Michigan Health Academy,Yes,Identified for Restructuring - Planning,High School
82,Wayne RESA,82918,Cesar Chavez Academy,09153,Cesar Chavez High School,No,Corrective Action,High School
82,Wayne RESA,82925,Detroit Community Schools,08456,Detroit Community Schools-High School,Yes,Identified for Improvement - Year One,High School
82,Wayne RESA,82929,Detroit Academy of Arts and Sciences,08489,Detroit Academy of Arts and Sciences,Yes,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82929,Detroit Academy of Arts and Sciences,09420,Detroit Academy of Arts and Sciences High School,No,Identified for Restructuring - Planning,High School
82,Wayne RESA,82943,Weston Preparatory Academy,08641,Weston Preparatory Academy,Yes,Identified for Improvement - Year Two,K-12 School
82,Wayne RESA,82948,Ross Hill Academy,08669,Ross/Hill Academy-Elementary,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82949,Center for Literacy and Creativity,08668,Center for Literacy and Creativity,Yes,Corrective Action,Elementary
82,Wayne RESA,82953,Detroit Service Learning Academy,08704,Detroit Service Learning Academy,Yes,Identified for Improvement - Year One,Elementary
82,Wayne RESA,82957,Hope of Detroit Academy,09155,Hope of Detroit Academy Consortium High School,No,Identified for Improvement - Year Two,High School
82,Wayne RESA,82961,Academy of Inkster,08729,Academy of Inkster,Yes,Identified for Improvement - Year Two,High School
82,Wayne RESA,82963,George Washington Carver Academy,08757,George Washington Carver Academy,No,Identified for Improvement - Year Two,Elementary
82,Wayne RESA,82964,Detroit Midtown Academy,08785,Detroit Midtown Academy,No,Identified for Restructuring - Implementation,Middle/High School
82,Wayne RESA,82971,Blanche Kelso Bruce Academy,09142,Blanche Kelso Bruce Academy-Connor,-,Identified for Restructuring - Implementation,Alternative School
82,Wayne RESA,82978,Life Skills Center of Metropolitan Detroit,09419,Life Skills Center of Metropolitan Detroit,No,Identified for Restructuring - Planning,Alternative School
82,Wayne RESA,82989,Covenant House Life Skills Center West,09624,Covenant House Life Skills Center West,No,Corrective Action,Alternative School
82,Wayne RESA,82990,Covenant House Life Skills Center East,09621,Covenant House Life Skills Center East,No,Corrective Action,Alternative School
82,Wayne RESA,82991,Covenant House Life Skills Center Central,09649,Covenant House Life Skills Center Central,No,Corrective Action,High School
82,Wayne RESA,82996,Clara B. Ford Academy (SDA),09787,Clara B. Ford Academy (SDA),No,Identified for Improvement - Year One,Middle/High School
83,Wexford-Missaukee ISD,83010,Cadillac Area Public Schools,07271,Cooley School,No,Identified for Restructuring - Planning,Alternative School
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,