Free and Reduced-Price Lunch Counts,,,,,,,,,
"Fall 2009 Building-Level Data: Age Groups, Ungraded Special Education",,,,,,,,,
Includes Grades K through 12 plus Ungraded Special Education (14),,,,,,,,,
DCODE,District_Name,BCODE,Entity_Name,GradeOrSetting,Age Group,Free Lunch Eligible,Reduced-Price Lunch Eligible,Not Eligible,Total Count
03000,Allegan Area Educational Service Agency,06730,Hillside Learning & Behavior Center,14,Age 0 to 4,4,2,6,12
03000,Allegan Area Educational Service Agency,06730,Hillside Learning & Behavior Center,14,Age 5 to 19,32,8,23,63
03000,Allegan Area Educational Service Agency,06730,Hillside Learning & Behavior Center,14,Age 20 to 26,12,3,2,17
03000,Allegan Area Educational Service Agency,09075,Wayland Young Adult Program,14,Age 5 to 19,0,0,1,1
03000,Allegan Area Educational Service Agency,09075,Wayland Young Adult Program,14,Age 20 to 26,1,0,6,7
03000,Allegan Area Educational Service Agency,09076,Plainwell Young Adult Program,14,Age 5 to 19,0,0,1,1
03000,Allegan Area Educational Service Agency,09076,Plainwell Young Adult Program,14,Age 20 to 26,1,0,7,8
03030,Allegan Public Schools,00881,Dawson Elementary School,14,Age 0 to 4,5,1,0,6
03040,Wayland Union Schools,04404,Wayland High School,14,Age 20 to 26,0,0,1,1
03050,Fennville Public Schools,07494,Fennville Elementary School,14,Age 0 to 4,0,0,3,3
03050,Fennville Public Schools,07494,Fennville Elementary School,14,Age 5 to 19,0,0,1,1
04000,Alpena-Montmorency-Alcona ESD,00808,Pied Piper Opportunity Center,14,Age 0 to 4,2,0,3,5
04000,Alpena-Montmorency-Alcona ESD,00808,Pied Piper Opportunity Center,14,Age 5 to 19,25,4,13,42
04000,Alpena-Montmorency-Alcona ESD,00808,Pied Piper Opportunity Center,14,Age 20 to 26,8,2,13,23
04000,Alpena-Montmorency-Alcona ESD,09473,ESD Sp Ed Programs in LEA Facilities,14,Age 0 to 4,9,0,10,19
04000,Alpena-Montmorency-Alcona ESD,09473,ESD Sp Ed Programs in LEA Facilities,14,Age 5 to 19,0,0,2,2
08000,Barry ISD,08881,Barry ISD Special Education,14,Age 5 to 19,5,2,2,9
08000,Barry ISD,08881,Barry ISD Special Education,14,Age 20 to 26,15,1,3,19
08010,Delton-Kellogg School District,00901,Delton Kellogg Elem. School,14,Age 0 to 4,9,0,7,16
08010,Delton-Kellogg School District,00901,Delton Kellogg Elem. School,14,Age 5 to 19,2,0,0,2
08030,Hastings Area School District,01607,Hastings Middle School,14,Age 5 to 19,3,0,0,3
09000,Bay-Arenac ISD,07276,Detention Center,14,Age 5 to 19,5,0,7,12
09000,Bay-Arenac ISD,08912,LLC---Bay Campus,14,Age 0 to 4,2,0,1,3
09000,Bay-Arenac ISD,08912,LLC---Bay Campus,14,Age 5 to 19,22,4,22,48
09000,Bay-Arenac ISD,08912,LLC---Bay Campus,14,Age 20 to 26,37,6,17,60
09000,Bay-Arenac ISD,08913,LLC--Arenac Campus,14,Age 5 to 19,15,1,7,23
09000,Bay-Arenac ISD,08913,LLC--Arenac Campus,14,Age 20 to 26,6,1,2,9
09000,Bay-Arenac ISD,09735,ISD-Local Programs,14,Age 0 to 4,1,0,1,2
09000,Bay-Arenac ISD,09735,ISD-Local Programs,14,Age 5 to 19,46,5,44,95
09010,Bay City School District,09080,Jefferson Center,14,Age 0 to 4,17,0,19,36
09010,Bay City School District,09080,Jefferson Center,14,Age 5 to 19,0,0,2,2
10015,Benzie County Central Schools,00848,Crystal Lake Elementary School,14,Age 0 to 4,1,0,0,1
11000,Berrien RESA,05794,Lighthouse Education Center,14,Age 0 to 4,3,0,2,5
11000,Berrien RESA,05794,Lighthouse Education Center,14,Age 5 to 19,5,2,1,8
11000,Berrien RESA,06922,Blossomland Learning Center,14,Age 0 to 4,7,0,1,8
11000,Berrien RESA,06922,Blossomland Learning Center,14,Age 5 to 19,84,8,52,144
11000,Berrien RESA,06922,Blossomland Learning Center,14,Age 20 to 26,34,1,31,66
11000,Berrien RESA,09637,Community Based Early Childhood Services,14,Age 0 to 4,9,0,9,18
11010,Benton Harbor Area Schools,03502,Sorter Elementary School,14,Age 0 to 4,6,0,3,9
11010,Benton Harbor Area Schools,03502,Sorter Elementary School,14,Age 5 to 19,3,0,0,3
11010,Benton Harbor Area Schools,09557,Stump School,14,Age 0 to 4,9,1,1,11
11010,Benton Harbor Area Schools,09893,Stump Early Childhood Center,14,Age 0 to 4,7,0,8,15
11020,St. Joseph Public Schools,00422,Brown School,14,Age 0 to 4,0,0,3,3
11030,Lakeshore School District (Berrien),02098,Roosevelt Elementary School,14,Age 0 to 4,0,0,1,1
11033,River Valley School District,00670,Chikaming Elementary School,14,Age 0 to 4,0,0,1,1
11033,River Valley School District,04180,Three Oaks Elementary School,14,Age 0 to 4,0,0,1,1
11200,New Buffalo Area Schools,08503,New Buffalo Middle School,14,Age 5 to 19,1,0,0,1
11250,Eau Claire Public Schools,02288,Lybrook Elementary School,14,Age 0 to 4,0,0,1,1
11300,Niles Community School District,03546,Southside Special Educ School,14,Age 5 to 19,7,1,3,11
11300,Niles Community School District,03546,Southside Special Educ School,14,Age 20 to 26,15,1,6,22
11310,Buchanan Community Schools,02583,Moccasin Elementary School,14,Age 0 to 4,6,0,0,6
11330,Coloma Community Schools,04390,Washington Elementary School,14,Age 0 to 4,2,0,0,2
11670,Hagar Township S/D #6,03217,Riverside School,14,Age 5 to 19,0,0,1,1
12000,Branch ISD,00000,RESA/ISD students attending LEA school--12000,14,Age 0 to 4,1,0,0,1
12000,Branch ISD,00000,RESA/ISD students attending LEA school--12000,14,Age 5 to 19,0,0,1,1
12000,Branch ISD,04792,Waldron Learning Center,14,Age 0 to 4,2,1,2,5
12000,Branch ISD,04792,Waldron Learning Center,14,Age 5 to 19,20,3,12,35
12000,Branch ISD,04792,Waldron Learning Center,14,Age 20 to 26,11,0,1,12
13000,Calhoun ISD,00426,Doris Klaussen Dev. Center,14,Age 0 to 4,108,3,120,231
13000,Calhoun ISD,00426,Doris Klaussen Dev. Center,14,Age 5 to 19,107,15,63,185
13000,Calhoun ISD,00426,Doris Klaussen Dev. Center,14,Age 20 to 26,47,1,10,58
13020,Battle Creek Public Schools,09351,Ann J. Kellogg School,14,Age 0 to 4,23,1,3,27
13020,Battle Creek Public Schools,09351,Ann J. Kellogg School,14,Age 5 to 19,8,0,1,9
14000,Lewis Cass ISD,06215,Brookside Learning Center,14,Age 0 to 4,1,0,0,1
14000,Lewis Cass ISD,06215,Brookside Learning Center,14,Age 5 to 19,7,1,6,14
14000,Lewis Cass ISD,09082,North Pointe Center,14,Age 5 to 19,6,2,2,10
14000,Lewis Cass ISD,09082,North Pointe Center,14,Age 20 to 26,11,0,5,16
14020,Dowagiac Union School District,01983,Justus Gage Elementary School,14,Age 0 to 4,4,0,2,6
14020,Dowagiac Union School District,01983,Justus Gage Elementary School,14,Age 5 to 19,4,0,1,5
14030,Edwardsburg Public Schools,01096,Edwardsburg High School,14,Age 20 to 26,1,0,0,1
16000,Cheb-Otsego-Presque Isle ESD,09024,COP ESD Programs,14,Age 0 to 4,22,0,24,46
16000,Cheb-Otsego-Presque Isle ESD,09024,COP ESD Programs,14,Age 5 to 19,41,2,21,64
16000,Cheb-Otsego-Presque Isle ESD,09024,COP ESD Programs,14,Age 20 to 26,7,0,2,9
16015,Cheboygan Area Schools,00655,Cheboygan Area High School,14,Age 5 to 19,5,0,10,15
16015,Cheboygan Area Schools,00655,Cheboygan Area High School,14,Age 20 to 26,1,0,6,7
16015,Cheboygan Area Schools,05776,Cheboygan Middle School,14,Age 5 to 19,2,0,12,14
16050,Inland Lakes Schools,01842,Inland Lakes High School,14,Age 20 to 26,0,0,2,2
17000,Eastern Upper Peninsula ISD,09022,Rudyard Area Service Center,14,Age 0 to 4,4,0,3,7
17000,Eastern Upper Peninsula ISD,09022,Rudyard Area Service Center,14,Age 5 to 19,15,2,5,22
17000,Eastern Upper Peninsula ISD,09022,Rudyard Area Service Center,14,Age 20 to 26,7,0,4,11
17010,Sault Ste. Marie Area Schools,02214,Lincoln School,14,Age 5 to 19,15,0,6,21
17010,Sault Ste. Marie Area Schools,06068,Sault Area High School,14,Age 5 to 19,2,0,5,7
17010,Sault Ste. Marie Area Schools,06068,Sault Area High School,14,Age 20 to 26,4,0,0,4
17050,DeTour Area Schools,00905,DeTour High School,14,Age 5 to 19,1,0,0,1
18000,Clare-Gladwin Regional Education Service District,00777,Clare-Gladwin Area School,14,Age 0 to 4,22,0,18,40
18000,Clare-Gladwin Regional Education Service District,00777,Clare-Gladwin Area School,14,Age 5 to 19,46,7,10,63
18000,Clare-Gladwin Regional Education Service District,00777,Clare-Gladwin Area School,14,Age 20 to 26,10,4,6,20
19000,Clinton County RESA,06889,Clinton County Education Center,14,Age 5 to 19,0,0,2,2
19000,Clinton County RESA,06889,Clinton County Education Center,14,Age 20 to 26,9,0,13,22
21000,Delta-Schoolcraft ISD,03370,Learning Center,14,Age 0 to 4,14,2,13,29
21000,Delta-Schoolcraft ISD,03370,Learning Center,14,Age 5 to 19,25,6,23,54
21000,Delta-Schoolcraft ISD,03370,Learning Center,14,Age 20 to 26,7,2,3,12
22000,Dickinson-Iron ISD,08877,Dickinson-Iron Special Education,14,Age 5 to 19,25,7,11,43
22000,Dickinson-Iron ISD,08877,Dickinson-Iron Special Education,14,Age 20 to 26,7,0,5,12
22000,Dickinson-Iron ISD,09547,Dickinson Iron Early Childhood Education,14,Age 0 to 4,2,0,0,2
23000,Eaton ISD,07286,Meadowview School,14,Age 0 to 4,1,0,0,1
23000,Eaton ISD,07286,Meadowview School,14,Age 5 to 19,6,0,21,27
23000,Eaton ISD,07286,Meadowview School,14,Age 20 to 26,2,0,3,5
23000,Eaton ISD,09236,Meadowview Offsite -CLC,14,Age 5 to 19,24,0,34,58
23000,Eaton ISD,09236,Meadowview Offsite -CLC,14,Age 20 to 26,16,0,34,50
23030,Charlotte Public Schools,09959,Weymouth Child Development Center,14,Age 0 to 4,12,2,11,25
23030,Charlotte Public Schools,09959,Weymouth Child Development Center,14,Age 5 to 19,1,0,0,1
23050,Eaton Rapids Public Schools,06026,Lockwood Elementary School,14,Age 0 to 4,13,3,10,26
23050,Eaton Rapids Public Schools,06026,Lockwood Elementary School,14,Age 5 to 19,2,0,0,2
23065,Maple Valley Schools,01339,Fuller Street Elementary School,14,Age 0 to 4,13,2,3,18
23065,Maple Valley Schools,01339,Fuller Street Elementary School,14,Age 5 to 19,1,0,1,2
23090,Potterville Public Schools,02170,Potterville Elementary School,14,Age 0 to 4,3,1,4,8
23090,Potterville Public Schools,02170,Potterville Elementary School,14,Age 5 to 19,0,0,1,1
25000,Genesee ISD,02658,Special Education Services-South,14,Age 0 to 4,71,0,114,185
25000,Genesee ISD,02658,Special Education Services-South,14,Age 5 to 19,24,0,26,50
25000,Genesee ISD,03691,Marion D. Crouse Instr. Center,14,Age 5 to 19,47,0,107,154
25000,Genesee ISD,03691,Marion D. Crouse Instr. Center,14,Age 20 to 26,20,2,22,44
25000,Genesee ISD,06156,Elmer A. Knopf Learning Center,14,Age 5 to 19,124,8,243,375
25000,Genesee ISD,06156,Elmer A. Knopf Learning Center,14,Age 20 to 26,31,2,38,71
25000,Genesee ISD,09765,Genesee ISD Transition Center,14,Age 5 to 19,3,0,8,11
25000,Genesee ISD,09765,Genesee ISD Transition Center,14,Age 20 to 26,45,3,39,87
25030,Grand Blanc Community Schools,01452,Perry Kindergarten,14,Age 0 to 4,0,0,18,18
25030,Grand Blanc Community Schools,01452,Perry Kindergarten,14,Age 5 to 19,0,0,2,2
25060,Bendle Public Schools,03503,South Bendle Elementary School,14,Age 0 to 4,11,0,9,20
25060,Bendle Public Schools,03503,South Bendle Elementary School,14,Age 5 to 19,1,0,1,2
25180,Swartz Creek Community Schools,07465,Swartz Creek Academy,14,Age 0 to 4,1,0,2,3
25180,Swartz Creek Community Schools,07465,Swartz Creek Academy,14,Age 5 to 19,0,0,3,3
25250,Linden Community Schools,00118,Argentine Elementary School,14,Age 0 to 4,0,0,8,8
25250,Linden Community Schools,02230,Linden Elementary School,14,Age 0 to 4,5,0,3,8
25250,Linden Community Schools,02230,Linden Elementary School,14,Age 5 to 19,4,0,1,5
27000,Gogebic-Ontonagon ISD,08902,Gogebic-Ontonagon ISD Special Education,14,Age 0 to 4,9,0,3,12
27000,Gogebic-Ontonagon ISD,08902,Gogebic-Ontonagon ISD Special Education,14,Age 5 to 19,22,1,3,26
27000,Gogebic-Ontonagon ISD,08902,Gogebic-Ontonagon ISD Special Education,14,Age 20 to 26,3,0,0,3
28000,Traverse Bay Area ISD,07492,Adult Work Center,14,Age 5 to 19,34,4,20,58
28000,Traverse Bay Area ISD,07492,Adult Work Center,14,Age 20 to 26,65,0,10,75
28000,Traverse Bay Area ISD,09503,TBA Early Childhood,14,Age 0 to 4,4,0,5,9
28000,Traverse Bay Area ISD,09503,TBA Early Childhood,14,Age 5 to 19,0,0,1,1
28000,Traverse Bay Area ISD,09748,TBA ISD Oak Park Special Education,14,Age 0 to 4,3,0,2,5
28000,Traverse Bay Area ISD,09748,TBA ISD Oak Park Special Education,14,Age 5 to 19,12,4,31,47
28000,Traverse Bay Area ISD,09748,TBA ISD Oak Park Special Education,14,Age 20 to 26,1,0,3,4
28000,Traverse Bay Area ISD,09783,TBA ISD Traverse Heights,14,Age 0 to 4,6,0,6,12
28000,Traverse Bay Area ISD,09783,TBA ISD Traverse Heights,14,Age 5 to 19,43,8,39,90
28010,Traverse City Area Public Schools,00599,Central Grade School,14,Age 0 to 4,6,0,0,6
28010,Traverse City Area Public Schools,01040,Eastern Elementary School,14,Age 5 to 19,0,0,1,1
28010,Traverse City Area Public Schools,01844,Interlochen Elementary School,14,Age 0 to 4,3,0,0,3
28010,Traverse City Area Public Schools,01844,Interlochen Elementary School,14,Age 5 to 19,2,0,5,7
28010,Traverse City Area Public Schools,02250,Long Lake Elementary School,14,Age 0 to 4,7,2,1,10
28010,Traverse City Area Public Schools,04201,Traverse Heights Elem. School,14,Age 0 to 4,11,2,0,13
28010,Traverse City Area Public Schools,04201,Traverse Heights Elem. School,14,Age 5 to 19,1,0,0,1
28010,Traverse City Area Public Schools,04549,Willow Hill Elementary School,14,Age 5 to 19,2,1,0,3
28010,Traverse City Area Public Schools,07461,Blair Elementary School,14,Age 0 to 4,8,3,0,11
28010,Traverse City Area Public Schools,07573,Courtade Elementary School,14,Age 0 to 4,1,0,0,1
28090,Kingsley Area Schools,05896,Kingsley Area Elementary School,14,Age 5 to 19,1,0,0,1
29000,Gratiot-Isabella RESD,06883,RESD Isabella County,14,Age 0 to 4,14,0,0,14
29000,Gratiot-Isabella RESD,06883,RESD Isabella County,14,Age 5 to 19,19,0,16,35
29000,Gratiot-Isabella RESD,06883,RESD Isabella County,14,Age 20 to 26,4,0,8,12
29000,Gratiot-Isabella RESD,07502,RESD Gratiot County,14,Age 0 to 4,13,0,0,13
29000,Gratiot-Isabella RESD,07502,RESD Gratiot County,14,Age 5 to 19,40,0,26,66
29000,Gratiot-Isabella RESD,07502,RESD Gratiot County,14,Age 20 to 26,7,0,6,13
30000,Hillsdale ISD,00737,Greenfield School,14,Age 5 to 19,9,0,5,14
30000,Hillsdale ISD,00737,Greenfield School,14,Age 20 to 26,11,0,8,19
30000,Hillsdale ISD,09169,The Manor,14,Age 5 to 19,0,0,12,12
31000,Copper Country ISD,03822,Copper Country Learning Center,14,Age 5 to 19,22,1,11,34
31000,Copper Country ISD,03822,Copper Country Learning Center,14,Age 20 to 26,9,0,10,19
31010,Hancock Public Schools,01555,Hancock Central High School,14,Age 20 to 26,0,0,1,1
31020,Adams Township School District,01893,Jeffers High School,14,Age 5 to 19,1,0,0,1
31030,Public Schools of Calumet,00497,Calumet High School,14,Age 5 to 19,3,0,0,3
31030,Public Schools of Calumet,04357,Washington Middle School,14,Age 5 to 19,1,0,0,1
32000,Huron ISD,07287,Huron Learning Center,14,Age 0 to 4,3,0,4,7
32000,Huron ISD,07287,Huron Learning Center,14,Age 5 to 19,3,0,10,13
32000,Huron ISD,07287,Huron Learning Center,14,Age 20 to 26,9,0,1,10
33000,Ingham ISD,06962,Heartwood School,14,Age 0 to 4,0,0,7,7
33000,Ingham ISD,06962,Heartwood School,14,Age 5 to 19,16,0,60,76
33000,Ingham ISD,06962,Heartwood School,14,Age 20 to 26,11,0,31,42
33000,Ingham ISD,08847,Ingham Administrative Unit,14,Age 0 to 4,0,0,2,2
33000,Ingham ISD,08847,Ingham Administrative Unit,14,Age 5 to 19,1,0,16,17
33020,Lansing Public School District,00326,Bingham School,14,Age 0 to 4,1,0,0,1
33020,Lansing Public School District,01122,Elmhurst School,14,Age 0 to 4,20,0,7,27
33020,Lansing Public School District,01122,Elmhurst School,14,Age 5 to 19,10,0,0,10
33020,Lansing Public School District,01269,Forest View School,14,Age 0 to 4,24,2,12,38
33020,Lansing Public School District,01269,Forest View School,14,Age 5 to 19,10,0,0,10
33020,Lansing Public School District,03462,Sheridan Road School,14,Age 0 to 4,29,2,8,39
33020,Lansing Public School District,03462,Sheridan Road School,14,Age 5 to 19,5,0,1,6
33020,Lansing Public School District,05261,Beekman Center,14,Age 0 to 4,10,1,6,17
33020,Lansing Public School District,05261,Beekman Center,14,Age 5 to 19,55,9,34,98
33020,Lansing Public School District,05261,Beekman Center,14,Age 20 to 26,50,4,28,82
33020,Lansing Public School District,06662,North School,14,Age 0 to 4,3,0,2,5
33020,Lansing Public School District,09834,Harley Franks Early Childhood Center,14,Age 0 to 4,47,1,16,64
33020,Lansing Public School District,09834,Harley Franks Early Childhood Center,14,Age 5 to 19,4,0,1,5
33060,Haslett Public Schools,04529,Wilkshire School,14,Age 0 to 4,2,1,13,16
33060,Haslett Public Schools,04529,Wilkshire School,14,Age 5 to 19,1,0,3,4
33100,Leslie Public Schools,01846,Leslie Middle School,14,Age 5 to 19,1,0,0,1
33220,Webberville Community Schools,04416,Webberville Elementary School,14,Age 0 to 4,0,0,1,1
33230,Williamston Community Schools,08620,Williamston Discovery Elementary School,14,Age 0 to 4,0,0,3,3
34000,Ionia ISD,00722,Freedom Acres School,14,Age 0 to 4,1,1,1,3
34000,Ionia ISD,00722,Freedom Acres School,14,Age 5 to 19,40,4,38,82
34000,Ionia ISD,00722,Freedom Acres School,14,Age 20 to 26,17,2,29,48
34010,Ionia Public Schools,01914,Jefferson School,14,Age 0 to 4,41,2,18,61
34010,Ionia Public Schools,01914,Jefferson School,14,Age 5 to 19,4,1,3,8
34090,Lakewood Public Schools,04451,West Elementary School,14,Age 0 to 4,5,5,0,10
34090,Lakewood Public Schools,04451,West Elementary School,14,Age 5 to 19,1,0,0,1
34090,Lakewood Public Schools,04581,Woodland Elementary School,14,Age 0 to 4,1,0,0,1
34110,Portland Public School District,03101,Oakwood Elementary School,14,Age 0 to 4,2,0,11,13
34110,Portland Public School District,06310,Portland Middle School,14,Age 0 to 4,1,0,10,11
34120,Saranac Community Schools,07567,Saranac Elementary School,14,Age 0 to 4,10,5,13,28
34120,Saranac Community Schools,07567,Saranac Elementary School,14,Age 5 to 19,1,1,0,2
35000,Iosco RESA,08870,Iosco RESA Special Education,14,Age 0 to 4,1,0,0,1
35000,Iosco RESA,08870,Iosco RESA Special Education,14,Age 5 to 19,31,10,3,44
35000,Iosco RESA,08870,Iosco RESA Special Education,14,Age 20 to 26,4,1,3,8
35020,Hale Area Schools,09979,Hale Elementary/Middle School,14,Age 5 to 19,17,6,0,23
37010,Mt. Pleasant City School District,02635,West Intermediate School,14,Age 5 to 19,3,0,8,11
37010,Mt. Pleasant City School District,02636,Mt. Pleasant Senior High School,14,Age 5 to 19,5,2,9,16
37010,Mt. Pleasant City School District,02636,Mt. Pleasant Senior High School,14,Age 20 to 26,20,0,3,23
37010,Mt. Pleasant City School District,03292,Rosebush School,14,Age 5 to 19,4,0,7,11
38000,Jackson ISD,00000,RESA/ISD students attending LEA school--38000,14,Age 5 to 19,2,1,7,10
38000,Jackson ISD,05984,Lyle A. Torrant Center,14,Age 0 to 4,1,0,0,1
38000,Jackson ISD,05984,Lyle A. Torrant Center,14,Age 5 to 19,35,13,46,94
38000,Jackson ISD,05984,Lyle A. Torrant Center,14,Age 20 to 26,37,1,28,66
38000,Jackson ISD,06435,Youth Home- Jackson ISD,14,Age 5 to 19,4,0,9,13
39000,Kalamazoo RESA,01448,Croyden Avenue School,14,Age 0 to 4,2,0,0,2
39000,Kalamazoo RESA,01448,Croyden Avenue School,14,Age 5 to 19,6,2,6,14
39000,Kalamazoo RESA,01448,Croyden Avenue School,14,Age 20 to 26,13,1,7,21
39000,Kalamazoo RESA,07288,Young Adult Program,14,Age 5 to 19,32,3,17,52
39000,Kalamazoo RESA,07288,Young Adult Program,14,Age 20 to 26,54,1,24,79
39000,Kalamazoo RESA,07289,Valley Center School,14,Age 5 to 19,0,0,1,1
39000,Kalamazoo RESA,09368,Oakwood School,14,Age 0 to 4,28,0,64,92
39000,Kalamazoo RESA,09777,Lakeside Academy,14,Age 5 to 19,1,0,0,1
39010,Kalamazoo Public School District,00113,Arcadia Elementary School,14,Age 0 to 4,11,1,3,15
39010,Kalamazoo Public School District,00602,Transition Services,14,Age 5 to 19,1,0,9,10
39010,Kalamazoo Public School District,00602,Transition Services,14,Age 20 to 26,1,0,1,2
39010,Kalamazoo Public School District,01501,Greenwood Elementary School,14,Age 0 to 4,15,1,0,16
39010,Kalamazoo Public School District,01837,Indian Prairie Elementary School,14,Age 0 to 4,3,0,1,4
39010,Kalamazoo Public School District,01837,Indian Prairie Elementary School,14,Age 5 to 19,2,0,0,2
39010,Kalamazoo Public School District,02574,Milwood Elementary School,14,Age 0 to 4,13,0,6,19
39010,Kalamazoo Public School District,02762,Northglade Montessori School,14,Age 0 to 4,10,1,0,11
39030,Comstock Public Schools,02725,North Elementary School,14,Age 0 to 4,16,0,4,20
39030,Comstock Public Schools,02725,North Elementary School,14,Age 5 to 19,4,0,1,5
39130,Parchment School District,02940,Parchment Northwood Elem. School,14,Age 0 to 4,1,0,6,7
39130,Parchment School District,02941,Parchment North Elem. School,14,Age 0 to 4,0,0,1,1
39130,Parchment School District,05885,Parchment Central Elem. School,14,Age 0 to 4,2,0,4,6
39130,Parchment School District,05885,Parchment Central Elem. School,14,Age 5 to 19,0,0,3,3
39140,Portage Public Schools,00081,Amberly Elementary School,14,Age 0 to 4,0,0,3,3
39140,Portage Public Schools,00100,Angling Road Elementary School,14,Age 0 to 4,2,0,1,3
39140,Portage Public Schools,00100,Angling Road Elementary School,14,Age 5 to 19,0,0,4,4
39140,Portage Public Schools,00583,Central Elementary School,14,Age 0 to 4,2,0,9,11
39140,Portage Public Schools,00583,Central Elementary School,14,Age 5 to 19,2,0,4,6
39140,Portage Public Schools,01610,Haverhill Elementary School,14,Age 0 to 4,0,0,7,7
39140,Portage Public Schools,01610,Haverhill Elementary School,14,Age 5 to 19,0,0,2,2
