Free and Reduced-Price Lunch Counts,,,,,
Fall 2009 District-Level Data: Adult Education,,,,,
,,,,,
DCODE,District_Name,Free Lunch Eligible,Reduced-Price Lunch Eligible,Not Eligible,Total Count
03010,Plainwell Community Schools,3,0,15,18
03020,Otsego Public Schools,3,1,6,10
03030,Allegan Public Schools,9,0,60,69
03050,Fennville Public Schools,8,0,64,72
04010,Alpena Public Schools,7,0,22,29
07020,Baraga Area Schools,9,0,17,26
08010,Delton-Kellogg School District,10,0,61,71
09010,Bay City School District,10,0,22,32
11010,Benton Harbor Area Schools,12,1,17,30
11210,Brandywine Community Schools,7,0,31,38
11240,Berrien Springs Public Schools,0,0,46,46
11300,Niles Community School District,11,0,87,98
12010,Coldwater Community Schools,7,0,61,68
13020,Battle Creek Public Schools,23,0,107,130
14010,Cassopolis Public Schools,31,0,104,135
14020,Dowagiac Union School District,15,0,71,86
17090,Pickford Public Schools,17,0,76,93
18010,Clare Public Schools,40,0,80,120
20015,Crawford AuSable Schools,5,0,17,22
22010,Iron Mountain Public Schools,17,0,31,48
23065,Maple Valley Schools,11,0,16,27
23090,Potterville Public Schools,13,0,28,41
25010,Flint City School District,63,0,210,273
25040,Mt. Morris Consolidated Schools,11,0,56,67
25060,Bendle Public Schools,41,0,84,125
25070,Genesee School District,0,0,1,1
25100,Fenton Area Public Schools,5,0,17,22
25120,Flushing Community Schools,3,0,10,13
25240,Beecher Community School District,27,0,56,83
26010,Beaverton Rural Schools,1,0,4,5
26040,Gladwin Community Schools,6,0,18,24
27020,Ironwood Area Schools,11,0,16,27
28000,Traverse Bay Area ISD,23,0,125,148
29010,Alma Public Schools,9,0,23,32
29050,Fulton Schools,13,0,71,84
30020,Hillsdale Community Schools,1,0,15,16
33020,Lansing Public School District,31,0,140,171
33060,Haslett Public Schools,2,0,72,74
33200,Stockbridge Community Schools,3,0,16,19
34080,Belding Area School District,10,0,45,55
34110,Portland Public School District,3,0,14,17
37010,Mt. Pleasant City School District,20,0,92,112
38040,Columbia School District,1,0,40,41
39010,Kalamazoo Public School District,33,0,131,164
39020,Climax-Scotts Community Schools,7,0,12,19
39030,Comstock Public Schools,10,0,31,41
39130,Parchment School District,16,0,38,54
39140,Portage Public Schools,7,0,68,75
39170,Vicksburg Community Schools,2,0,8,10
41010,Grand Rapids Public Schools,51,0,425,476
41020,Godwin Heights Public Schools,20,0,223,243
41026,Wyoming Public Schools,12,0,209,221
41120,Godfrey-Lee Public Schools,0,0,29,29
41160,Kentwood Public Schools,7,0,73,80
41210,Rockford Public Schools,2,0,26,28
41240,Sparta Area Schools,9,0,384,393
44010,Lapeer Community Schools,1,0,17,18
44060,Imlay City Community Schools,1,0,3,4
46010,Adrian City School District,18,0,72,90
47010,Brighton Area Schools,13,0,58,71
50020,East Detroit Public Schools,14,0,121,135
50040,Anchor Bay School District,8,0,29,37
50070,Clintondale Community Schools,93,0,169,262
50080,Chippewa Valley Schools,4,0,85,89
50120,Lake Shore Public Schools (Macomb),6,0,88,94
50140,L'Anse Creuse Public Schools,40,0,171,211
50210,Utica Community Schools,23,0,440,463
50220,Van Dyke Public Schools,8,0,35,43
50230,Warren Consolidated Schools,22,0,469,491
50240,Warren Woods Public Schools,4,0,62,66
52015,N.I.C.E. Community Schools,5,0,30,35
53010,Mason County Central Schools,15,0,40,55
55115,North Central Area Schools,27,0,65,92
56020,Bullock Creek School District,52,0,195,247
56030,Coleman Community School District,0,0,1,1
58020,Airport Community School District,0,0,16,16
58030,Bedford Public Schools,2,0,22,24
58090,Mason Consolidated Schools (Monroe),4,0,27,31
59125,Central Montcalm Public Schools,14,0,50,64
61010,Muskegon City School District,53,0,115,168
61020,Muskegon Heights School District,14,0,23,37
61065,Oakridge Public Schools,5,0,3,8
61080,Fruitport Community Schools,7,0,38,45
61190,Orchard View Schools,60,0,151,211
61230,North Muskegon Public Schools,23,0,48,71
61240,Whitehall District Schools,42,1,19,62
62040,Fremont Public School District,6,0,37,43
62050,Grant Public School District,4,0,164,168
62060,Hesperia Community Schools,22,0,33,55
62070,Newaygo Public School District,5,0,31,36
63010,Birmingham City School District,0,0,50,50
63020,Ferndale Public Schools,85,0,406,491
63030,Pontiac City School District,5,0,16,21
63040,School District of the City of Royal Oak,9,0,210,219
63050,Berkley School District,8,0,47,55
63100,Novi Community School District,0,0,105,105
63130,Hazel Park City School District,34,0,210,244
63150,Troy School District,6,0,219,225
63160,West Bloomfield School District,2,0,60,62
63200,Farmington Public School District,3,0,168,171
63220,Huron Valley Schools,3,0,53,56
63230,Lake Orion Community Schools,5,0,61,66
63260,Rochester Community School District,7,0,154,161
63290,Walled Lake Consolidated Schools,5,0,145,150
63300,Waterford School District,14,0,128,142
64080,Shelby Public Schools,12,0,24,36
67020,Evart Public Schools,9,0,10,19
70020,Holland City School District,2,0,207,209
70350,Zeeland Public Schools,28,0,192,220
72020,Houghton Lake Community Schools,6,0,26,32
73010,Saginaw City School District,11,0,44,55
73030,Carrollton School District,11,2,46,59
73210,Hemlock Public School District,1,0,5,6
73255,Swan Valley School District,2,0,12,14
74010,Port Huron Area School District,43,0,122,165
74040,Capac Community School District,0,0,6,6
74130,Yale Public Schools,0,0,2,2
75010,Sturgis Public Schools,12,0,105,117
75030,Centreville Public Schools,2,0,24,26
75080,Three Rivers Community Schools,11,0,16,27
76060,Brown City Community Schools,20,0,39,59
78080,Perry Public School District,7,0,14,21
78100,Corunna Public School District,6,0,18,24
78110,Owosso Public Schools,6,0,21,27
79020,Caro Community Schools,3,1,7,11
79100,Millington Community Schools,6,0,11,17
80020,Bangor Public Schools,6,0,25,31
80120,Hartford Public School District,30,1,11,42
80160,Paw Paw Public School District,2,0,36,38
81010,Ann Arbor Public Schools,7,0,104,111
81020,School District of Ypsilanti,0,0,100,100
81040,Chelsea School District,3,0,17,20
81100,Milan Area Schools,5,0,84,89
81150,Willow Run Community Schools,3,0,47,50
82010,Detroit City School District,153,0,1068,1221
82030,Dearborn City School District,15,0,631,646
82050,Garden City School District,30,2,39,71
82060,Hamtramck Public Schools,25,0,297,322
82070,Highland Park City Schools,31,0,67,98
82080,School District of the City of Inkster,7,0,27,34
82095,Livonia Public Schools,4,0,282,286
82100,Plymouth-Canton Community Schools,10,1,126,137
82130,Romulus Community Schools,13,0,97,110
82160,Wayne-Westland Community School District,43,0,303,346
82240,Westwood Community Schools,1,0,10,11
82405,Southgate Community School District,48,0,425,473
83010,Cadillac Area Public Schools,7,0,19,26